competition_id,competition_name,tourney_cal_id,tourney_cal_name,match_id,match_date,team_id,team_name,opponent_id,home,accuratePass,blockedScoringAtt,cleanSheet,cornerTaken,fkFoulWon,fkFoulLost,goalAssist,goalKicks,goals,goalsConceded,lostCorners,midfielderGoals,ownGoals,penGoalsConceded,penaltyConceded,penaltySave,penaltyWon,possessionPercentage,saves,secondYellow,shotOffTarget,subsMade,totalClearance,totalOffside,totalPass,totalScoringAtt,totalSubOn,totalTackle,totalThrows,totalYellowCard,totalRedCard,wonCorners,wonTackle,penaltyFaced,rescindedRedCard,accurateBackZonePass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFwdZonePass,accurateGoalKicks,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attBxCentre,attBxLeft,attBxRight,attCmissHigh,attCmissHighLeft,attCmissHighRight,attCmissLeft,attCmissRight,attObxCentre,attObxLeft,attObxRight,attObxdLeft,attObxdRight,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attGoalHighCentre,attGoalHighLeft,attGoalHighRight,attGoalLowCentre,attGoalLowLeft,attGoalLowRight,attHdGoal,attHdMiss,attHdPost,attHdTarget,attHdTotal,attIboxBlocked,attIboxGoal,attIboxMiss,attIboxPost,attIboxTarget,attIboxOwnGoal,attOboxOwnGoal,attLfGoal,attLfTarget,attLfTotal,attLgCentre,attLgLeft,attLgRight,attMissHigh,attMissHighLeft,attMissHighRight,attMissLeft,attMissRight,attOboxBlocked,attOboxGoal,attOboxMiss,attOboxPost,attOboxTarget,attObpGoal,attOneOnOne,attOpenplay,attPenGoal,attPenMiss,attPenPost,attPenTarget,attPostHigh,attPostLeft,attPostRight,attRfGoal,attRfTarget,attRfTotal,attSetpiece,attSvHighCentre,attSvHighLeft,attSvHighRight,attSvLowCentre,attSvLowLeft,attSvLowRight,attemptsIbox,attemptsObox,attemptsConcededIbox,attemptsConcededObox,backPass,ballRecovery,challengeLost,clearanceOffLine,contentiousDecision,crossNotClaimed,crosses18yard,crosses18yardplus,dangerousPlay,defenderGoals,dispossessed,diveCatch,diveSave,duelLost,duelWon,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,firstHalfGoals,formationUsed,forwardGoals,fouledFinalThird,goalAssistIntentional,goalsConcededIbox,goalsConcededObox,goodHighClaim,goalsOpenplay,handBall,headClearance,interception,interceptionsInBox,keeperThrows,lastManTackle,longPassOwnToOpp,longPassOwnToOppSuccess,offsideProvoked,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,outfielderBlock,ownGoalAccrued,passesLeft,passesRight,postScoringAtt,punches,ptsDroppedWinningPos,ptsGainedLosingPos,savedIbox,savedObox,savedSetpiece,sixSecondViolation,sixYardBlock,standCatch,standSave,totalAttackingPass,totalAttAssist,totalBackZonePass,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFwdZonePass,totalHighClaim,totalLaunches,totalLayoffs,totalLongBalls,totalThroughBall,touches,touchesInOppBox,turnover,wonContest,totalFlickOn,accurateFlickOn,totalChippedPass,accurateChippedPass,blockedCross,shieldBallOop,foulThrowIn,effectiveBlockedCross,totalPullBack,accuratePullBack,totalKeeperSweeper,accurateKeeperSweeper,goalAssistOpenplay,goalAssistSetplay,attAssistOpenplay,attAssistSetplay,overrun,interceptionWon,bigChanceCreated,bigChanceMissed,bigChanceScored,unsuccessfulTouch,fwdPass,backwardPass,leftsidePass,rightsidePass,successfulFinalThirdPasses,totalFinalThirdPasses,divingSave,possWonDef3rd,possWonMid3rd,possWonAtt3rd,possLostAll,possLostCtrl,goalFastbreak,shotFastbreak,penAreaEntries,hitWoodwork,goalAssistDeadball,freekickCross,accurateFreekickCross,openPlayPass,successfulOpenPlayPass,attemptedTackleFoul,blockedPass,failedToBlock,putThrough,successfulPutThrough,assistPassLost,assistBlockedShot,assistAttemptSaved,assistPost,assistFreeKickWon,assistHandballWon,assistOwnGoal,assistPenaltyWon,shotsConcOnfield,subsGoals,keeperGoals
2kwbbcootiqqgmrzs6o5inle5,Premier League,9n12waklv005j8r32sfjj2eqc,2024/2025,e7y2hbbz0d91khvu418gzrrbo,2025-05-25Z,b9si1jn1lfxfund69e9ogcu2n,Wolves,7yx5dqhhphyvfisohikodajhv,True,339.0,4.0,0.0,8.0,9.0,7.0,1.0,6.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,48.6,6.0,0.0,8.0,5.0,23.0,3.0,414.0,18.0,0.0,25.0,23.0,2.0,0.0,8.0,16.0,0.0,0.0,140.0,1.0,4.0,4.0,203.0,3.0,9.0,3.0,9.0,20.0,1.0,22.0,13.0,19.0,6.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,2.0,1.0,1.0,5.0,0.0,3.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,14.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,8.0,10.0,11.0,2.0,0.0,65.0,3.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,10.0,0.0,0.0,46.0,67.0,23.0,18.0,1.0,0.0,54.0,0.0,3421,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,18.0,5.0,2.0,11.0,0.0,44.0,26.0,0.0,8.0,8.0,6.0,1.0,0.0,49.0,62.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,163.0,27.0,8.0,20.0,13.0,1.0,271.0,2.0,16.0,10.0,48.0,1.0,637.0,32.0,0.0,14.0,6.0,2.0,27.0,17.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,1.0,5.0,1.0,1.0,0.0,21.0,148.0,72.0,97.0,97.0,116.0,153.0,1.0,19.0,20.0,10.0,142.0,142.0,0.0,1.0,26.0,0.0,0.0,1.0,0.0,391.0,324.0,2.0,3.0,0.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2kwbbcootiqqgmrzs6o5inle5,Premier League,9n12waklv005j8r32sfjj2eqc,2024/2025,e7y2hbbz0d91khvu418gzrrbo,2025-05-25Z,7yx5dqhhphyvfisohikodajhv,Brentford,b9si1jn1lfxfund69e9ogcu2n,False,383.0,1.0,0.0,3.0,7.0,9.0,1.0,9.0,1.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,51.4,5.0,0.0,5.0,3.0,21.0,1.0,454.0,13.0,0.0,23.0,19.0,1.0,0.0,3.0,13.0,0.0,0.0,235.0,1.0,4.0,3.0,152.0,4.0,2.0,3.0,8.0,28.0,0.0,13.0,19.0,13.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,1.0,1.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,11.0,2.0,8.0,10.0,0.0,63.0,14.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,11.0,0.0,0.0,67.0,46.0,21.0,11.0,0.0,1.0,54.0,1.0,4231,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,11.0,6.0,0.0,3.0,0.0,56.0,34.0,0.0,2.0,7.0,7.0,4.0,0.0,51.0,57.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,252.0,17.0,3.0,13.0,10.0,1.0,215.0,1.0,14.0,10.0,54.0,3.0,650.0,27.0,0.0,3.0,3.0,1.0,26.0,15.0,4.0,1.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,7.0,1.0,1.0,6.0,3.0,2.0,1.0,22.0,147.0,73.0,120.0,114.0,69.0,108.0,3.0,32.0,14.0,9.0,136.0,136.0,0.0,1.0,34.0,0.0,0.0,2.0,0.0,433.0,370.0,5.0,5.0,0.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2kwbbcootiqqgmrzs6o5inle5,Premier League,9n12waklv005j8r32sfjj2eqc,2024/2025,e7i2wj9yoz8oc8w6kaknkt3bo,2025-05-25Z,22doj4sgsocqpxw45h607udje,Tottenham,e5p0ehyguld7egzhiedpdnc3w,True,207.0,1.0,0.0,2.0,8.0,13.0,0.0,5.0,1.0,4.0,11.0,0.0,0.0,1.0,1.0,0.0,1.0,32.5,4.0,0.0,1.0,5.0,39.0,1.0,271.0,4.0,0.0,13.0,21.0,3.0,0.0,2.0,7.0,1.0,0.0,156.0,0.0,0.0,0.0,51.0,5.0,3.0,2.0,4.0,15.0,0.0,19.0,16.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,18.0,5.0,0.0,35.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,11.0,0.0,0.0,57.0,32.0,39.0,17.0,0.0,1.0,26.0,1.0,433,1.0,2.0,0.0,3.0,1.0,1.0,0.0,0.0,17.0,11.0,0.0,3.0,0.0,39.0,22.0,0.0,1.0,2.0,2.0,7.0,0.0,32.0,21.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,178.0,11.0,2.0,5.0,3.0,1.0,98.0,1.0,13.0,5.0,39.0,1.0,449.0,10.0,0.0,4.0,4.0,1.0,23.0,8.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,11.0,2.0,2.0,1.0,15.0,97.0,40.0,64.0,70.0,17.0,42.0,1.0,13.0,13.0,2.0,106.0,106.0,0.0,1.0,10.0,0.0,0.0,1.0,0.0,251.0,191.0,10.0,4.0,0.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2kwbbcootiqqgmrzs6o5inle5,Premier League,9n12waklv005j8r32sfjj2eqc,2024/2025,e7i2wj9yoz8oc8w6kaknkt3bo,2025-05-25Z,e5p0ehyguld7egzhiedpdnc3w,Brighton,22doj4sgsocqpxw45h607udje,False,485.0,8.0,0.0,11.0,13.0,8.0,1.0,3.0,4.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,67.5,1.0,0.0,7.0,5.0,7.0,2.0,545.0,23.0,0.0,18.0,10.0,1.0,0.0,11.0,16.0,1.0,0.0,202.0,8.0,12.0,4.0,295.0,3.0,2.0,1.0,8.0,13.0,1.0,10.0,7.0,16.0,9.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,2.0,7.0,4.0,3.0,6.0,1.0,4.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,11.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,18.0,5.0,4.0,0.0,0.0,47.0,4.0,0.0,0.0,0.0,10.0,11.0,0.0,0.0,8.0,0.0,0.0,32.0,57.0,7.0,3.0,0.0,0.0,67.0,0.0,442,2.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,7.0,0.0,2.0,0.0,51.0,39.0,0.0,5.0,11.0,8.0,1.0,0.0,114.0,45.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,212.0,15.0,10.0,33.0,23.0,0.0,366.0,0.0,7.0,8.0,24.0,2.0,728.0,47.0,0.0,10.0,3.0,1.0,15.0,9.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,10.0,5.0,2.0,7.0,2.0,2.0,3.0,15.0,150.0,90.0,156.0,149.0,155.0,192.0,1.0,10.0,29.0,6.0,113.0,113.0,0.0,0.0,44.0,1.0,0.0,2.0,1.0,528.0,469.0,6.0,11.0,0.0,17.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2kwbbcootiqqgmrzs6o5inle5,Premier League,9n12waklv005j8r32sfjj2eqc,2024/2025,e720gu288fqplghkdcns8br4k,2025-05-25Z,d5ydtvt96bv7fq04yqm2w2632,Southampton,4dsgumo7d4zupm2ugsvm4zm4d,True,278.0,3.0,0.0,5.0,7.0,7.0,1.0,3.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,38.2,6.0,0.0,2.0,4.0,34.0,1.0,339.0,7.0,0.0,18.0,12.0,0.0,0.0,5.0,9.0,0.0,0.0,152.0,2.0,3.0,1.0,129.0,0.0,0.0,9.0,7.0,17.0,1.0,8.0,14.0,13.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0,16.0,7.0,0.0,42.0,10.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,11.0,0.0,0.0,49.0,52.0,34.0,19.0,0.0,1.0,39.0,0.0,541,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,19.0,6.0,5.0,0.0,0.0,57.0,29.0,0.0,1.0,2.0,2.0,11.0,0.0,31.0,46.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,163.0,21.0,5.0,11.0,6.0,2.0,187.0,1.0,29.0,7.0,47.0,2.0,530.0,17.0,0.0,14.0,2.0,1.0,13.0,6.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,13.0,104.0,60.0,92.0,83.0,46.0,77.0,3.0,26.0,6.0,4.0,105.0,105.0,0.0,2.0,22.0,0.0,1.0,0.0,0.0,323.0,270.0,4.0,7.0,0.0,16.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2kwbbcootiqqgmrzs6o5inle5,Premier League,9n12waklv005j8r32sfjj2eqc,2024/2025,e720gu288fqplghkdcns8br4k,2025-05-25Z,4dsgumo7d4zupm2ugsvm4zm4d,Arsenal,d5ydtvt96bv7fq04yqm2w2632,False,486.0,10.0,0.0,8.0,7.0,8.0,2.0,1.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,61.8,1.0,0.0,5.0,5.0,23.0,1.0,533.0,23.0,0.0,18.0,14.0,0.0,0.0,8.0,4.0,0.0,0.0,99.0,1.0,6.0,6.0,393.0,1.0,4.0,3.0,3.0,14.0,2.0,13.0,13.0,14.0,9.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,4.0,5.0,1.0,4.0,1.0,5.0,0.0,0.0,1.0,1.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,7.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,16.0,7.0,5.0,2.0,0.0,43.0,14.0,0.0,0.0,0.0,14.0,9.0,0.0,1.0,11.0,0.0,0.0,52.0,49.0,23.0,13.0,0.0,1.0,67.0,1.0,4231,0.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,13.0,2.0,0.0,4.0,0.0,34.0,26.0,0.0,5.0,15.0,8.0,3.0,0.0,92.0,111.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,20.0,106.0,17.0,6.0,29.0,24.0,2.0,456.0,2.0,7.0,3.0,22.0,3.0,721.0,38.0,0.0,10.0,3.0,2.0,20.0,9.0,3.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,16.0,2.0,1.0,2.0,3.0,3.0,1.0,9.0,129.0,92.0,167.0,145.0,250.0,284.0,1.0,11.0,26.0,1.0,100.0,100.0,0.0,2.0,44.0,1.0,0.0,1.0,0.0,520.0,475.0,4.0,6.0,0.0,16.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2kwbbcootiqqgmrzs6o5inle5,Premier League,9n12waklv005j8r32sfjj2eqc,2024/2025,e6lfkyw0bc4heideuhijjd15g,2025-05-25Z,1qtaiy11gswx327s0vkibf70n,Nottm Forest,9q0arba2kbnywth8bkxlhgmdr,True,352.0,4.0,0.0,7.0,11.0,10.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,51.8,1.0,0.0,4.0,3.0,22.0,5.0,420.0,10.0,0.0,14.0,25.0,2.0,0.0,7.0,9.0,0.0,0.0,179.0,3.0,7.0,4.0,180.0,3.0,4.0,5.0,8.0,21.0,1.0,21.0,9.0,10.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,2.0,4.0,2.0,0.0,48.0,4.0,0.0,0.0,0.0,14.0,12.0,0.0,0.0,8.0,0.0,0.0,38.0,37.0,22.0,10.0,1.0,0.0,64.0,0.0,4312,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,3.0,0.0,4.0,0.0,58.0,38.0,0.0,2.0,4.0,2.0,2.0,0.0,60.0,73.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,194.0,9.0,6.0,33.0,27.0,0.0,259.0,0.0,20.0,9.0,49.0,2.0,607.0,28.0,0.0,2.0,3.0,2.0,25.0,12.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,1.0,3.0,2.0,2.0,0.0,14.0,152.0,65.0,99.0,104.0,92.0,134.0,0.0,23.0,16.0,4.0,133.0,133.0,0.0,0.0,37.0,0.0,0.0,1.0,0.0,405.0,337.0,5.0,8.0,0.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2kwbbcootiqqgmrzs6o5inle5,Premier League,9n12waklv005j8r32sfjj2eqc,2024/2025,e6lfkyw0bc4heideuhijjd15g,2025-05-25Z,9q0arba2kbnywth8bkxlhgmdr,Chelsea,1qtaiy11gswx327s0vkibf70n,False,327.0,2.0,1.0,4.0,10.0,11.0,1.0,9.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,48.2,2.0,0.0,2.0,3.0,36.0,1.0,409.0,6.0,0.0,15.0,17.0,2.0,0.0,4.0,10.0,0.0,0.0,165.0,0.0,1.0,1.0,163.0,6.0,5.0,2.0,11.0,13.0,0.0,14.0,10.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,8.0,2.0,0.0,48.0,2.0,0.0,0.0,0.0,8.0,2.0,0.0,1.0,5.0,0.0,0.0,37.0,38.0,36.0,21.0,0.0,1.0,57.0,0.0,4231,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,21.0,4.0,0.0,5.0,0.0,72.0,36.0,0.0,1.0,4.0,2.0,3.0,0.0,64.0,55.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,180.0,13.0,0.0,11.0,11.0,0.0,240.0,5.0,26.0,11.0,51.0,0.0,577.0,11.0,0.0,4.0,3.0,0.0,20.0,9.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,4.0,2.0,2.0,1.0,12.0,141.0,71.0,97.0,100.0,83.0,131.0,0.0,19.0,14.0,5.0,124.0,124.0,0.0,0.0,18.0,0.0,0.0,1.0,0.0,377.0,304.0,6.0,4.0,0.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2kwbbcootiqqgmrzs6o5inle5,Premier League,9n12waklv005j8r32sfjj2eqc,2024/2025,e672488uaw8h4dzfjoqgw9ij8,2025-05-25Z,7vn2i2kd35zuetw6b38gw9jsz,Newcastle,ehd2iemqmschhj2ec0vayztzz,True,461.0,4.0,0.0,12.0,9.0,12.0,0.0,10.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,65.3,5.0,0.0,7.0,4.0,21.0,0.0,525.0,17.0,0.0,11.0,22.0,1.0,0.0,12.0,8.0,0.0,0.0,171.0,7.0,10.0,3.0,300.0,8.0,9.0,0.0,7.0,18.0,0.0,21.0,16.0,18.0,6.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,3.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,10.0,7.0,9.0,5.0,0.0,49.0,9.0,0.0,0.0,0.0,16.0,5.0,0.0,0.0,6.0,0.0,0.0,49.0,43.0,21.0,12.0,0.0,3.0,68.0,0.0,343,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,12.0,5.0,0.0,9.0,0.0,56.0,37.0,0.0,4.0,8.0,6.0,2.0,0.0,90.0,105.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,179.0,12.0,11.0,34.0,23.0,0.0,380.0,1.0,10.0,7.0,38.0,1.0,708.0,29.0,0.0,5.0,1.0,0.0,26.0,17.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,6.0,0.0,5.0,1.0,1.0,0.0,16.0,158.0,67.0,162.0,138.0,147.0,190.0,3.0,15.0,23.0,2.0,118.0,118.0,0.0,0.0,48.0,0.0,0.0,2.0,0.0,506.0,444.0,4.0,2.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2kwbbcootiqqgmrzs6o5inle5,Premier League,9n12waklv005j8r32sfjj2eqc,2024/2025,e672488uaw8h4dzfjoqgw9ij8,2025-05-25Z,ehd2iemqmschhj2ec0vayztzz,Everton,7vn2i2kd35zuetw6b38gw9jsz,False,224.0,2.0,1.0,3.0,12.0,9.0,1.0,14.0,1.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,34.7,6.0,0.0,6.0,3.0,25.0,0.0,288.0,14.0,0.0,13.0,16.0,4.0,0.0,3.0,8.0,0.0,0.0,126.0,0.0,3.0,3.0,101.0,12.0,3.0,9.0,8.0,26.0,0.0,10.0,18.0,16.0,7.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,4.0,1.0,1.0,5.0,0.0,2.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,9.0,5.0,10.0,7.0,0.0,50.0,5.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,6.0,0.0,0.0,43.0,49.0,25.0,8.0,0.0,0.0,49.0,0.0,4231,0.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,8.0,14.0,3.0,3.0,0.0,65.0,31.0,0.0,1.0,6.0,6.0,4.0,0.0,42.0,28.0,0.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,138.0,14.0,2.0,11.0,9.0,4.0,161.0,4.0,28.0,9.0,61.0,0.0,458.0,13.0,0.0,9.0,9.0,4.0,28.0,14.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,14.0,1.0,2.0,0.0,11.0,122.0,42.0,63.0,61.0,42.0,76.0,3.0,25.0,10.0,3.0,100.0,100.0,0.0,4.0,17.0,0.0,0.0,0.0,0.0,255.0,202.0,6.0,2.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
